Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
Riverside West,1,Interior hallways except in front common area;  if safe to do so move to North Campus Storm Shelter locatedd in Student Activity Center,"33.218588, -87.544872","Riverside West, 703 Riverside Lane, Tuscaloosa, AL 35401, USA"
Rodgers Library,1,"Common restrooms, hallway between room 105 and stairwell, hallway between room 114 and room 117","33.209841, -87.569173","Tuscaloosa, AL, USA"
Rose Administration,B,"Room G50, room G55, common restrooms, hallway outside common restrooms","33.209614, -87.547066","Rose Administration, University Boulevard, Tuscaloosa, AL 35401, USA"
Rowand Johnson Hall,B,"East interior hallway including common restrooms, west center stairwell","33.213003, -87.548423","Rowand-Johnson Hall, Tuscaloosa, AL 35401, USA"
Russell Hall,1,"Common restrooms outside lecture hall, front stairwell, east corridor between fire doors","33.209537, -87.542371","Russell Hall, Tuscaloosa, AL 35401, USA"
Russell Hall,2,"Common restrooms outside lecture hall, lecture hall lobby, front stairwell, east and west hallways between fire doors and including stairwells, front common restrooms","33.209537, -87.542371","Russell Hall, Tuscaloosa, AL 35401, USA"
Russell Hall,3,North common restrooms,"33.209537, -87.542371","Russell Hall, Tuscaloosa, AL 35401, USA"
School of Medicine,1,"Hallway from room H105A to room D103, hallway from room H102 to room E106, interior stairwell, room B111, room B114, room B116, room B117","33.209841, -87.569173","Tuscaloosa, AL, USA"
School of Medicine,2,Hallway between room D201 and stairwell including stairwell,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Science and Engineering Complex,1,"Common restrooms outside room 1301, hallway between rooms 1306 and 1346, hallway and stairwell between room 1314 and room 1318","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Science and Engineering Complex,2,"Common restrooms outside room 2303, hallway between rooms 2317 and 2324, hallway between room 2306 and room 2336, hallway and stairwell between room 2308 and room 2315","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Science and Engineering Complex,3,"Common restrooms outside room 3302, hallway between rooms 3306 and 3333, hallway between room 3313 and room 3318, hallway and stairwell between room 3306 and room 3311","33.214244, -87.541257","Science and Engineering Complex, Tuscaloosa, AL 35401, USA"
Sewell-Thomas Stadium,1,Interior corridor,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Shelby Hall,1,Interior hall except at exits,"33.215044, -87.542328","Interdisciplinary Science Building - Shelby Hall, Tuscaloosa, AL 35401, USA"
Smith Hall,1,Interior halls,"33.21187, -87.54382","Smith Hall, 427 6th Avenue Northeast, Tuscaloosa, AL 35404, USA"
Smith Woods (all buildings),1,Bedroom hallway,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Soccer Stadium,ALL,Proceed to Student Recreation Center,"33.210829, -87.532373","Alabama Soccer Stadium, Tuscaloosa, AL 35401, USA"
Softball Club House,1,"Room 101, room 104, room 105","33.209841, -87.569173","Tuscaloosa, AL, USA"
Somerville Hall,1,East and west hallways,"33.217057, -87.547176","Somerville Hall, Tuscaloosa, AL 35401, USA"
South Engineering Research Center,1,"Room 1013, room 1059, common restrooms","33.214276, -87.543914","South Engineering Research Center, Shelby Lane, Tuscaloosa, AL 35401, USA"
South Lawn Office Building,1,Interior offices and common restrooms,"33.204112, -87.532701","South Lawn Office Building, Tuscaloosa, AL 35401, USA"
Stadium Drive Parking Deck,1,Southeast quarter,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Stallings Center,1,Hallway between room 115 and room 121 except at main hall crossing,"33.208219, -87.529229","Stallings Center, Tuscaloosa, AL 35404, USA"
Student Activity Center,B,North Campus Storm Shelter,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Student Media Building,1,"Room 1018, common restrooms, hall between room 1022 and room 1028","33.209841, -87.569173","Tuscaloosa, AL, USA"
Student Recreation Center,1,"Locker rooms, room 155, room 156, hallway outside room 154","33.212474, -87.531704","Student Recreation Center, Tuscaloosa, AL 35401, USA"
Student Services Center,1,"Room 106C, room 106E, room 106F, room 106J, room 106K, room 105H, room 105J, room 105T, room 103C, room 103D, room 103E, common restrooms","33.21449, -87.546894","Student Services Center, Tuscaloosa, AL 35401, USA"
Temple Tutwiler Hall,1,Common restrooms,"33.209052, -87.548878","Temple Tutwiler Hall, Tuscaloosa, AL 35401, USA"
Ten Hoor Hall,B,Center hallway,"33.212902, -87.549279","ten Hoor Hall, Marrs Spring Road, Tuscaloosa, AL 35401, USA"
University Club,1,"Room 104, room 105, hallway between room 106 and room 108 including common restroom","33.212396, -87.559827","The University Club, 421 Queen City Avenue, Tuscaloosa, AL 35401, USA"
Theater and Dance,1,Hallway around room 117,"33.213019, -87.548375","University of Alabama Theatre and Dance, Tuscaloosa, AL 35487, USA"
Tuomey Hall,1,"Common restroom, hallway outside room 102, hallway outside room 103","33.209841, -87.569173","Tuscaloosa, AL, USA"
Tutwiler Hall,1,"Hallway outside room 140 and to room 128, common restrooms outside room 140; 2-4fl interior hallways and common restrooms except center common area","33.205676, -87.548328","Tutwiler Hall, Tuscaloosa, AL 35401, USA"
Student Health Center,ALL,Proceed to School of Medicine,"33.208004, -87.53142","Student Health Center, 750 5th Avenue East, Tuscaloosa, AL 35401, USA"
UAPD Garage,ALL,Proceed to Main UAPD Building,"33.209841, -87.569173","Tuscaloosa, AL, USA"
UAPD Main Building/ UPC,1,Area near the holding cells,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Varsity Tennis Stadium,ALL,Proceed to Student Recreation Center,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Weclome Center--Bryant Denny St,1,Storage closet at south wall; Public restrooms in common area near south entrance,"33.196482, -87.506055","Denny Street, Tuscaloosa, AL 35404, USA"
Woods Hall,1,Common restroom,"33.21328, -87.545762","Woods Hall, Tuscaloosa, AL 35401, USA"
