Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
Alpha Phi,1,"Common restroom, bathroom off front bedroom","33.206361, -87.545952","Alpha Phi, Tuscaloosa, AL 35401, USA"
Alpha Phi,2,"Living room, bathroom, hallways, stairwell","33.206361, -87.545952","Alpha Phi, Tuscaloosa, AL 35401, USA"
Sigma Nu,B,"Chapter room, recreation room, office","33.211246, -87.551822","Sigma Nu, 990 University Boulevard, Tuscaloosa, AL 35401, USA"
Sigma Nu,1,Common restrooms,"33.211246, -87.551822","Sigma Nu, 990 University Boulevard, Tuscaloosa, AL 35401, USA"
Delta Sigma Phi,B,Common restrooms,"33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Delta Sigma Phi,1,Bathrooms,"33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Delta Sigma Phi,2,"Shower, bathroom","33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Theta Chi,B,Storage,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Zeta Beta Tau,B,"Restrooms, chapter room, hallway between chapter room and both stairs","33.210209, -87.540257","Zeta Beta Tau, Tuscaloosa, AL 35401, USA"
Zeta Tau Alpha,1,Common restrooms,"33.207084, -87.548398","Zeta Tau Alpha, Tuscaloosa, AL 35401, USA"
Zeta Tau Alpha,2,Bathrooms,"33.207084, -87.548398","Zeta Tau Alpha, Tuscaloosa, AL 35401, USA"
Pi Kappa Alpha,1,Common restrooms,"33.208672, -87.53783","Pi Kappa Alpha, Tuscaloosa, AL 35401, USA"
Alpha Tau Omega,1,Restrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Alpha Tau Omega,2,Bathrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Delta Chi,1,Restrooms,"33.210651, -87.539421","Delta Chi, Tuscaloosa, AL 35401, USA"
Adams Hall,1,"Room 109, restrooms outside room 109","33.208576, -87.547961","Adams Hall, Tuscaloosa, AL 35401, USA"
AIME,1,"Room 108, room 110","33.154083, -87.335765","Aimee Drive, Coaling, AL 35453, USA"
Alston Hall,B,"Room 10, room 20, room 30, hallway between rooms 10 and 30, room 38 (restroom), room 42 (restroom)","33.211875, -87.548967","Alston Hall, Laurel Dr, Tuscaloosa, AL 35404, USA"
Alumni Hall,1,"Common restrooms, hallway between rooms 116 and 122","33.206263, -87.538252","Alumni Hall, Tuscaloosa, AL 35401, USA"
Alumni Hall,2,"Restrooms, hall between rooms 224 and 229","33.206263, -87.538252","Alumni Hall, Tuscaloosa, AL 35401, USA"
Ancillary Services Building,1,"Common restrooms, hallway between common restrooms","33.209841, -87.569173","Tuscaloosa, AL, USA"
Aquatic Center,1,Room 170,"33.205312, -87.542442","Aquatic Center, Tuscaloosa, AL 35401, USA"
Barnwell Hall,1,Room 1,"33.206593, -87.547434","Barnwell Hall, Tuscaloosa, AL 35401, USA"
BB Comer Hall,B,Basement hallway between rooms 32 and 34,"33.213535, -87.546983","B. B.Comer Hall, Tuscaloosa, AL 35401, USA"
BB Comer Hall,1,"Hallway between rooms 101 and 102A-F, hallway between north stairwell and room 111, closet in room 105A","33.213535, -87.546983","B. B.Comer Hall, Tuscaloosa, AL 35401, USA"
Bevill Energy Building,B,"Hallways, southern two east stairwells, common restrooms","33.216633, -87.543816","Tom Bevill Energy, Mineral, and Materials Science Research Building, Tuscaloosa, AL 35401, USA"
Bidgood Hall,B,"Common restroom outside room 4, room 34, south hallway between fire doors outside of entrances to room 10","33.21176, -87.548378","Bidgood Hall, Tuscaloosa, AL 35401, USA"
Biology Building,1,Interior hallway,"33.212288, -87.542295","Biology Building, Tuscaloosa, AL 35401, USA"
Blount Living Learning Center,1,"Restrooms outside rooms 17 and 19, hallway between rooms 137 and 146","33.216587, -87.548228","Blount Undergraduate Initiative Living-Learning Center, Tuscaloosa, AL 35401, USA"
Book Storage Facility,1,Common restroom,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Brewer Porch Center,1,"Restrooms, room 178","33.187063, -87.481949","Brewer-Porch Childrens Center, Tuscaloosa, AL 35404, USA"
Brewer Porch Bldg. D,1,North common bathrooms,"33.187063, -87.481949","Brewer-Porch Childrens Center, Tuscaloosa, AL 35404, USA"
Brewer Porch Bldg. E,1,North common bathrooms,"33.187063, -87.481949","Brewer-Porch Childrens Center, Tuscaloosa, AL 35404, USA"
Brewer Porch Bldg. F,1,"West common bathrooms, east interior common bathroom","33.187063, -87.481949","Brewer-Porch Childrens Center, Tuscaloosa, AL 35404, USA"
Brewer Porch Multipurpose Buildin,1,Common restrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Brewer Porch Residential Brick I,1,Common restroom outside room 109,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Brewer Porch Residential Brick II,1,East common restroom,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Brewer Porch Residential Wood,1,Northeast common restroom,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Brewer Porch WACS,1,West hallway between restrooms,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Bruno Business Library,1,"Room 3, room 4, room 6, hallway between room 15 and stairwell including stairwell","33.211058, -87.549277","Angelo Bruno Business Library and Sloan Y. Bashinsky Computer Center, Tuscaloosa, AL 35401, USA"
Bryant Conference Center,1,"Stairwell outside room 123, hallway between rooms 121A and 121B, south common men's restrooms, common restrooms outside room 131C","33.206342, -87.538839","Bryant Conference Center, 240 Paul W Bryant Drive, Tuscaloosa, AL 35487, USA"
Bryant Conference Center,2,"Hallway between rooms 205 and 219, hallway between rooms 232 and 250","33.206342, -87.538839","Bryant Conference Center, 240 Paul W Bryant Drive, Tuscaloosa, AL 35487, USA"
Bryant Hall Academic Center,1,"West wing north stairwell, room 149, room 147, west wing common restrooms, south wing common restrooms","33.209841, -87.569173","Tuscaloosa, AL, USA"
Bryant Museum,1,Common restrooms,"33.206644, -87.539728","Paul W. Bryant Museum, 300 Paul W Bryant Drive, Tuscaloosa, AL 35487, USA"
Bryant Residence Hall,1,"Bathrooms except outside stairwells, stairwell outside room 110, stairwell outside room 108A","33.209841, -87.569173","Tuscaloosa, AL, USA"
Bryant Residence Hall,2,"Stairwell outside room 211, stairwell outside room L208","33.209841, -87.569173","Tuscaloosa, AL, USA"
Bryce Lawn Apartment (All Buildings),ALL,Interior bathroom in each suite,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Bureau of Mines Building 1,1,Hallway,"33.212402, -87.544519","ROTC and A and S Programs Building, Tuscaloosa, AL 35401, USA"
Bureau of Mines Building 2,ALL,Proceed to Hardaway Hall,"33.212402, -87.544519","ROTC and A and S Programs Building, Tuscaloosa, AL 35401, USA"
Bureau of Mines Building 3,ALL,Proceed to Hardaway Hall,"33.212402, -87.544519","ROTC and A and S Programs Building, Tuscaloosa, AL 35401, USA"
Bureau of Mines Building 4,ALL,Proceed to Bureau of Mines Building 1,"33.212402, -87.544519","ROTC and A and S Programs Building, Tuscaloosa, AL 35401, USA"
Bureau of Mines Building 5,ALL,Proceed to Hardaway Hall,"33.212402, -87.544519","ROTC and A and S Programs Building, Tuscaloosa, AL 35401, USA"
